IDText,Text,clean_text,processed_text,text_length,predicted_label
TXT0220,Sukarelawan Anies-Muhaimin (AMIN) Diminta Awasi TPS dengan Rekam dan Foto https://t.co/APvTbuCCBE [RE OposisiCerdas],sukarelawan aniesmuhaimin amin diminta awasi tps dengan rekam dan foto  ,sukarelawan aniesmuhaimin amin awasi tps rekam foto,51,Politik
TXT0221,"Ganjar berkomitmen untuk meningkatkan kesejahteraan keluarga prajurit melalui program beasiswa ini @cakimiNOW 
#DebatCapres
#GanjarMahfud2024
#GanjarMahfudM3nangDebat
#Coblos5 https://t.co/oFoW9AwJVG","ganjar berkomitmen untuk meningkatkan kesejahteraan keluarga prajurit melalui program beasiswa ini  
 ",ganjar berkomitmen meningkatkan kesejahteraan keluarga prajurit program beasiswa,80,Politik
TXT0222,"Saat prabowo singgung APBD DKI 80 Triliun penjilat pantat gemoy bersorak gembira joget gemoy.
Giliran Anies singgung anggaran Menhan  700 Triliun mereka ngamuk gigit pantat....

Pasukan pantat gemoy memang sakit ÃƒÂ°Ã‚Å¸Ã‚Â¤Ã‚Â£ÃƒÂ°Ã‚Å¸Ã‚Â¤Ã‚Â£ÃƒÂ°Ã‚Å¸Ã‚Â¤Ã‚Â£ÃƒÂ°Ã‚Å¸Ã‚Â¤Ã‚Â£ https://t.co/EfaMw8igCO [RE RomitsuT]","saat prabowo singgung apbd dki  triliun penjilat pantat gemoy bersorak gembira joget gemoy
giliran anies singgung anggaran menhan   triliun mereka ngamuk gigit pantat

pasukan pantat gemoy memang sakit   ",prabowo singgung apbd dki triliun penjilat pantat gemoy bersorak gembira joget gemoy giliran anies singgung anggaran menhan triliun ngamuk gigit pantat pasukan pantat gemoy sakit,178,Politik
TXT0223,"Program Pasangan Capres Cawapres Ganjar Pranowo dan Mahfud MD, solusi jitu buat dorong pertumbuhan ekonomi desa. #JNK #GanjarPranowoPilihanUmat https://t.co/DbnnUpTD4F",program pasangan capres cawapres ganjar pranowo dan mahfud md solusi jitu buat dorong pertumbuhan ekonomi desa   ,program pasangan capres cawapres ganjar pranowo mahfud md solusi jitu dorong pertumbuhan ekonomi desa,101,Ekonomi
TXT0224,"@coandtoel @haykal2498 @akubolehjujurga ada sumber valid gak? apa cuma cuap2? kalo gw si gapercaya aplg dr pdip. kalo lu sering nonton berita. itu dijelasin kenapa pdip gasetuju. dan kalo anies, dia aja kemaren nyindir soal langkahin konstitusi kok.",   ada sumber valid gak apa cuma cuap kalo gw si gapercaya aplg dr pdip kalo lu sering nonton berita itu dijelasin kenapa pdip gasetuju dan kalo anies dia aja kemaren nyindir soal langkahin konstitusi kok,sumber valid gak cuap kalo gw si gapercaya aplg dr pdip kalo lu nonton berita dijelasin pdip gasetuju kalo anies aja kemaren nyindir langkahin konstitusi,153,Politik
TXT0225,"ÃƒÂ°Ã‚Å¸Ã‚â€Ã‚Â¸INDONESIA TIDAK PUNYA HUBUNGAN DIPLOMATIK DENGAN ISRAEL TAPI AKAN MENORMALISASI HUBUNGAN

Meskipun Indonesia tidak
mempunyai hubungan diplomatik dengan Israel, namun hubungan Indonesia di bidang perdagangan cukup baik. Disinyalir Prabowo akan menormalisasi hubungan Indonesia-Israel. Para pejabat Amerika Serikat mengatakan, awal 2021 pemerintahan Trump menempatkan Indonesia dan Mauritania sebagai negara-negara muslim selanjutnya yang didorong untuk menormalisasi hubungan dengan Israel.Ãƒâ€šÃ‚Â 

GAK BAHAYA taaa???

#AsalBukanPrabowo 

https://t.co/Eu0Ky59gFR [RE _riverheaven]","indonesia tidak punya hubungan diplomatik dengan israel tapi akan menormalisasi hubungan

meskipun indonesia tidak
mempunyai hubungan diplomatik dengan israel namun hubungan indonesia di bidang perdagangan cukup baik disinyalir prabowo akan menormalisasi hubungan indonesiaisrael para pejabat amerika serikat mengatakan awal  pemerintahan trump menempatkan indonesia dan mauritania sebagai negaranegara muslim selanjutnya yang didorong untuk menormalisasi hubungan dengan israel 

gak bahaya taaa

 

 ",indonesia hubungan diplomatik israel menormalisasi hubungan indonesia hubungan diplomatik israel hubungan indonesia bidang perdagangan disinyalir prabowo menormalisasi hubungan indonesiaisrael pejabat amerika serikat pemerintahan trump menempatkan indonesia mauritania negaranegara muslim didorong menormalisasi hubungan israel gak bahaya taaa,343,Politik
TXT0226,"Kok bisa ya kamu salah sejauh itu soal anggaran Prabowo Wan Angin? @BobbyPoerwana 
DukunganTulus Untuk02 Penasaran Kebebasan PTN TOP 10 Menhan Nyebokin Nangisin Goblok PT TMI 
https://t.co/N9uh28IM93 https://t.co/M3VCALXzmP","kok bisa ya kamu salah sejauh itu soal anggaran prabowo wan angin  
dukungantulus untuk penasaran kebebasan ptn top  menhan nyebokin nangisin goblok pt tmi 
 ",ya salah anggaran prabowo wan angin dukungantulus penasaran kebebasan ptn top menhan nyebokin nangisin goblok pt tmi,116,Politik
TXT0227,@sabar_setiabudi @CINTAINDONESIAd Demokrasi sdh di rusak 02 rkyt sdh cerdas Prabowo akan tumbang lg utk ke 4x nya jd presiden itu pasti,  demokrasi sdh di rusak  rkyt sdh cerdas prabowo akan tumbang lg utk ke x nya jd presiden itu pasti,demokrasi sdh rusak rkyt sdh cerdas prabowo tumbang lg utk x nya jd presiden,76,Politik
TXT0228,"Lembaga Survei Australia Sebut Elektabilitas Anies Melonjak, ABRI-SATU: Optimis AMIN Pemenang Pilpres 2024 https://t.co/AjoNSJufli [RE OposisiCerdas]",lembaga survei australia sebut elektabilitas anies melonjak abrisatu optimis amin pemenang pilpres   ,lembaga survei australia elektabilitas anies melonjak abrisatu optimis amin pemenang pilpres,92,Politik
TXT0229,Prabowo Serang Anies: Pemimpin jangan Ngomong Aja https://t.co/cw44D0Ofl7 [RE OposisiCerdas],prabowo serang anies pemimpin jangan ngomong aja  ,prabowo serang anies pemimpin ngomong aja,41,Politik
TXT0230,"[2024 akan Penuh dengan Kejutan]

Prabowo Gibran Menang satu putaran  bukan ngawang2 tapi Optimisme yang terukur dan Berdasar (data dan Fakta)

Pemerintahan JOKOWI sebentar lagi akan berakhir menggoreskan kenangan indah yang  harus dilanjutkan dan terus ditingkatkan

Dan Kerinduan rakyat , Keluarga ASN TNI POLRI Terhadap Sosok SBY dan Jokowi  sudah terwakilkan  di Paslon 02 (Militer & Sipil )
Sebuah pasangan yang realistias dengan kondisi saat ini dan masa depan [RE Heraloebss]"," akan penuh dengan kejutan

prabowo gibran menang satu putaran  bukan ngawang tapi optimisme yang terukur dan berdasar data dan fakta

pemerintahan jokowi sebentar lagi akan berakhir menggoreskan kenangan indah yang  harus dilanjutkan dan terus ditingkatkan

dan kerinduan rakyat  keluarga asn tni polri terhadap sosok sby dan jokowi  sudah terwakilkan  di paslon  militer  sipil 
sebuah pasangan yang realistias dengan kondisi saat ini dan masa depan ",penuh kejutan prabowo gibran menang putaran ngawang optimisme terukur berdasar data fakta pemerintahan jokowi sebentar menggoreskan kenangan indah dilanjutkan ditingkatkan kerinduan rakyat keluarga asn tni polri sosok sby jokowi terwakilkan paslon militer sipil pasangan realistias kondisi,289,Politik
TXT0231,"Ganjar-Mahfud adalah pemimpin yang mendukung kesejahteraan semua lapisan masyarakat. @allenaaxxaa Happy New Year 
#GanjarMahfud2024
#GanjarMahfudM3nang
#L3bihbaik https://t.co/Plj09f5U2c","ganjarmahfud adalah pemimpin yang mendukung kesejahteraan semua lapisan masyarakat  happy new year 
 ",ganjarmahfud pemimpin mendukung kesejahteraan lapisan masyarakat happy new year,79,Politik
TXT0232,"Inilah Desak Anies yg sudah di lakukan masih menjabat Gub DKI, 

Jadi acara #DebatAnies saat ini bukan sekedar mencari perhatian tuk pilpres 2024, tapi ini melanjutkan tradisi demokrasi yg sehat, 

#AniesMuhaimin2024 
#AMINAjaDulu","inilah desak anies yg sudah di lakukan masih menjabat gub dki 

jadi acara  saat ini bukan sekedar mencari perhatian tuk pilpres  tapi ini melanjutkan tradisi demokrasi yg sehat 

 
",desak anies yg lakukan menjabat gub dki acara sekedar mencari perhatian tuk pilpres melanjutkan tradisi demokrasi yg sehat,122,Politik
TXT0233,@OposisiCerdas Sombong skrg aja kubu prabowo ini....dgn cara apa bisa menang..??? Ingat ya kalau terpilih berdasarkan demokrasi yg jurdil..Insyaallah rakyat tidak bergejolak..namun jika sebaliknya.....jgn anggap main2 pemilik mutlak di negeri ini....ingat ini adalah pesta demokrasi rakyat..., sombong skrg aja kubu prabowo inidgn cara apa bisa menang ingat ya kalau terpilih berdasarkan demokrasi yg jurdilinsyaallah rakyat tidak bergejolaknamun jika sebaliknyajgn anggap main pemilik mutlak di negeri iniingat ini adalah pesta demokrasi rakyat,sombong skrg aja kubu prabowo inidgn menang ya terpilih berdasarkan demokrasi yg jurdilinsyaallah rakyat bergejolaknamun sebaliknyajgn anggap main pemilik mutlak negeri iniingat pesta demokrasi rakyat,200,Politik
TXT0234,"@UJTHLD7RM9OM8eBkFvDJ2/6KIg0lh245r95H9WbP82U= Justru kalau Prabowo menang akan bahaya buat keutuhan dan kelangsungan Indonesia. Dia sudah bilang kalau 2030 NKRA akan hancur, ditolakÂ orgÂ PapuaÂ dll.", justru kalau prabowo menang akan bahaya buat keutuhan dan kelangsungan indonesia dia sudah bilang kalau  nkra akan hancur ditolak org papua dll,prabowo menang bahaya keutuhan kelangsungan indonesia bilang nkra hancur ditolak org papua dll,94,Politik
TXT0235,"Demokrasi kita diwujudkan di Indonesian Democratic Party Februari 2024, mantap! Ayo, kita jadikan momen ini lebih bermakna dengan memilih Ganjar Pranowo. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/o3wPzXdH10",demokrasi kita diwujudkan di indonesian democratic party februari  mantap ayo kita jadikan momen ini lebih bermakna dengan memilih ganjar pranowo    ,demokrasi diwujudkan indonesian democratic party februari mantap ayo jadikan momen bermakna memilih ganjar pranowo,114,Politik
TXT0236,"@Rocky_Antonie Debat cuma modal: bego, dongok, tolol.
2004, Ganjar DPR, Prabowo kalah di Golkar.
2009, Ganjar DPR, Prabowo gagal cawapres.
2014, Ganjar Gubernur, Prabowo gagal Capres.
2019, Ganjar n Anis Gubernur, Prabowo gagal capres.

Prabowo Gagal mlulu!
Anis menang 1 kali, itupun brutal! https://t.co/PrV2xj6ViQ"," debat cuma modal bego dongok tolol
 ganjar dpr prabowo kalah di golkar
 ganjar dpr prabowo gagal cawapres
 ganjar gubernur prabowo gagal capres
 ganjar n anis gubernur prabowo gagal capres

prabowo gagal mlulu
anis menang  kali itupun brutal ",debat modal bego dongok tolol ganjar dpr prabowo kalah golkar ganjar dpr prabowo gagal cawapres ganjar gubernur prabowo gagal capres ganjar n anis gubernur prabowo gagal capres prabowo gagal mlulu anis menang kali itupun brutal,227,Politik
TXT0237,"Kesejahteraan keluarga prajurit menjadi komitmen Ganjar @bukanakdajjal 
#DebatCapres
#GanjarMahfud2024
#GanjarMahfudM3nangDebat
#Coblos97 https://t.co/OkUmArvdfw","kesejahteraan keluarga prajurit menjadi komitmen ganjar  
 ",kesejahteraan keluarga prajurit komitmen ganjar,47,Politik
TXT0238,"Menurut calon presiden nomor urut 3 @ganjarpranowo, seluruh yang tumpang tindih dari sisi regulasi perlu harmonisasi dan sinkronisasi. Selain itu, lanjutnya, pada tingkat tidak ada keputusan, maka pemimpin tertinggi harus berani mengambil keputusan itu. 

Ganjar menyampaikan hal ini sebagai jawaban atas pertanyaan bagaimana komitmen paslon terhadap penataan institusi pertahanan dan keamanan, karena kewenangan institusi di sektor keamanan sangat penting tetapi masih terjadi tumpang tindih.

Pertanyaan dari panelis berlangsung saat #DebatCapres di Istora Senayan, Jakarta, Minggu (7/1/2024). Tema #DebatPilpres ketiga ini adalah seputar geopolitik, hubungan internasional, serta pertahanan dan keamanan.

Tonton keseruan Debat Ketiga Pilpres yang sedang berlangsung di Youtube Kompascom: https://t.co/vJ8FObLy5s

~N #GanjarMahfud #GanjarPranowo #JernihMemilih #Pemilu2024KCM #DebatCapresKetiga #DebatCapres2024 #Pemilu #Pilpres #KPU [RE kompascom]","menurut calon presiden nomor urut   seluruh yang tumpang tindih dari sisi regulasi perlu harmonisasi dan sinkronisasi selain itu lanjutnya pada tingkat tidak ada keputusan maka pemimpin tertinggi harus berani mengambil keputusan itu 

ganjar menyampaikan hal ini sebagai jawaban atas pertanyaan bagaimana komitmen paslon terhadap penataan institusi pertahanan dan keamanan karena kewenangan institusi di sektor keamanan sangat penting tetapi masih terjadi tumpang tindih

pertanyaan dari panelis berlangsung saat  di istora senayan jakarta minggu  tema  ketiga ini adalah seputar geopolitik hubungan internasional serta pertahanan dan keamanan

tonton keseruan debat ketiga pilpres yang sedang berlangsung di youtube kompascom 

n          ",calon presiden nomor urut tumpang tindih sisi regulasi harmonisasi sinkronisasi tingkat keputusan pemimpin tertinggi berani mengambil keputusan ganjar komitmen paslon penataan institusi pertahanan keamanan kewenangan institusi sektor keamanan tumpang tindih panelis istora senayan jakarta minggu tema ketiga seputar geopolitik hubungan internasional pertahanan keamanan tonton keseruan debat ketiga pilpres youtube kompascom n,426,Politik
TXT0239,"Gaya kepemimpinan Ganjar Pranowo capres no urut 3, patut kita berikan jempol. Beliau terjun langsung ke masyarakat bukan karena hanya mau menjadi calon presiden, tapi itu sudah dilakukan beliau sejak dari legislatif. Memang sudah gaya kepemimpinan beliau selalu terjun ke masyarakat, untuk mendengar langsung aspirasi atau keluhan-keluhan dari warganya.
ÃƒÂ°Ã‚Å¸Ã‚Â¤Ã‚Å¸ÃƒÂ¢Ã‚â„¢Ã‚Â¥ÃƒÂ¯Ã‚Â¸Ã‚ÂÃƒÂ°Ã‚Å¸Ã‚â€Ã‚Â¥
#GanjarPeduliRakyat
#GanjarHobiBlusukan 
#GanjarMahfudM3nang [RE SimanjuntakElly]","gaya kepemimpinan ganjar pranowo capres no urut  patut kita berikan jempol beliau terjun langsung ke masyarakat bukan karena hanya mau menjadi calon presiden tapi itu sudah dilakukan beliau sejak dari legislatif memang sudah gaya kepemimpinan beliau selalu terjun ke masyarakat untuk mendengar langsung aspirasi atau keluhankeluhan dari warganya

 
 ",gaya kepemimpinan ganjar pranowo capres no urut patut jempol beliau terjun langsung masyarakat calon presiden beliau legislatif gaya kepemimpinan beliau terjun masyarakat mendengar langsung aspirasi keluhankeluhan warganya,222,Politik
TXT0240,@yudira13 @aniesbaswedan @prabowo @ganjarpranowo Terus dan terus sampaikan kebenaran dan fakta itu ke publik agar rakyat Indonesia paham bahwa ada etika2 hukum yg di injak2 oleh para penguasa hanya untuk melanggengkan kekuasaannya.. Goodjob ÃƒÂ°Ã‚Å¸Ã‚â€˜Ã‚Â,    terus dan terus sampaikan kebenaran dan fakta itu ke publik agar rakyat indonesia paham bahwa ada etika hukum yg di injak oleh para penguasa hanya untuk melanggengkan kekuasaannya goodjob ,kebenaran fakta publik rakyat indonesia paham etika hukum yg injak penguasa melanggengkan kekuasaannya goodjob,110,Politik
TXT0241,Istri Mendiang Munir: Prabowo Harus Tanggung Jawab Soal Penculikan Aktivis 1998 https://t.co/CjzYbNTalP [RE OposisiCerdas],istri mendiang munir prabowo harus tanggung jawab soal penculikan aktivis   ,istri mendiang munir prabowo tanggung penculikan aktivis,56,Politik
TXT0242,"Seusai Diduga Mengeroyok Relawan Ganjar, 15 Prajurit TNI Ditahan, Brigjen Kristomei: Ditindak Tegas! https://t.co/ePMFWokWWm [RE OposisiCerdas]",seusai diduga mengeroyok relawan ganjar  prajurit tni ditahan brigjen kristomei ditindak tegas  ,diduga mengeroyok relawan ganjar prajurit tni ditahan brigjen kristomei ditindak,80,Politik
TXT0243,"Pak Ganjar Pranowo dan Pak Mahfud MD adalah tim yang cocok untuk membawa inovasi ke d pemerintahan

 Ganjar Mahfud Hebat #Coblos3 #3GM #GanjarMahfudM3nangDebat #WaktunyaPrabowo https://t.co/uWfqmlwC1r","pak ganjar pranowo dan pak mahfud md adalah tim yang cocok untuk membawa inovasi ke d pemerintahan

 ganjar mahfud hebat     ",ganjar pranowo mahfud md tim cocok membawa inovasi d pemerintahan ganjar mahfud hebat,85,Politik
TXT0244,Gw 15 tahun menjadi bagian dari diaspora Indo di LN cuma bisa ketawa ketika Anies bicara kuliner dan rumah budaya di setiap region di seluruh dunia. Mungkin passport hijau gw kalau bisa denger juga ikutan ketawa. [RE hasmibakhtiar],gw  tahun menjadi bagian dari diaspora indo di ln cuma bisa ketawa ketika anies bicara kuliner dan rumah budaya di setiap region di seluruh dunia mungkin passport hijau gw kalau bisa denger juga ikutan ketawa ,gw diaspora indo ln ketawa anies bicara kuliner rumah budaya region dunia passport hijau gw denger ikutan ketawa,112,Politik
TXT0245,"@Afutami Jujur, pak anies beneran keliatan menuntut pertanggung jawaban negara thdp anggaran dan program selama ini, terlihat kecewa dgn approach pertahanan slm ini,yg lagi2 menegaskan posisinya sbg pihak perubahan. Sadly org indonesia rasanya selalu tdk suka dengar mode kritik dpn umum", jujur pak anies beneran keliatan menuntut pertanggung jawaban negara thdp anggaran dan program selama ini terlihat kecewa dgn approach pertahanan slm iniyg lagi menegaskan posisinya sbg pihak perubahan sadly org indonesia rasanya selalu tdk suka dengar mode kritik dpn umum,jujur anies beneran keliatan menuntut pertanggung negara thdp anggaran program kecewa dgn approach pertahanan slm iniyg posisinya sbg perubahan sadly org indonesia tdk suka dengar mode kritik dpn,195,Politik
TXT0246,Prabowo Diberi Rapor Merah oleh Ganjar dan Anies https://t.co/TGU38BCXwh [RE OposisiCerdas],prabowo diberi rapor merah oleh ganjar dan anies  ,prabowo rapor merah ganjar anies,32,Politik
TXT0247,"Dengan Ganjar-Mahfud, diharapkan UMKM dapat merasakan sentuhan langsung dari pemerintah dalam memperluas jangkauan dan meningkatkan daya saing mereka. @bananabluee2 Happy New Year 
#GanjarMahfud2024
#GanjarMahfudM3nang
#L3bihbaik https://t.co/YjwSWLCWZc","dengan ganjarmahfud diharapkan umkm dapat merasakan sentuhan langsung dari pemerintah dalam memperluas jangkauan dan meningkatkan daya saing mereka  happy new year 
 ",ganjarmahfud diharapkan umkm merasakan sentuhan langsung pemerintah memperluas jangkauan meningkatkan daya saing happy new year,127,Politik
TXT0248,"Ganjar-Mahfud berkomitmen akan berantas habis praktik KKN dengan tiga strategi demi mewujudkan pertumbuhan Ekonomi di Indonesia.

#PDIPerjuangan
#GanjarUntukSemua
#GanjarPresiden
#MEnangkanGAnjar
#Nomor3Pilihanku
#GanjarMahfud2024
#GanjarSatSet
#MahfudTasTes https://t.co/4bsmDWOXBu [RE PDI_Perjuangan]","ganjarmahfud berkomitmen akan berantas habis praktik kkn dengan tiga strategi demi mewujudkan pertumbuhan ekonomi di indonesia

  ",ganjarmahfud berkomitmen berantas habis praktik kkn strategi mewujudkan pertumbuhan ekonomi indonesia,101,Politik
TXT0249,"Kasihan nih Prabowo jadi korban fitnah Anies yang suka sembrono sebut anggaran @fasterkyu 
DukunganTulus Untuk02 Penasaran Kebebasan PTN TOP 10 Menhan Nyebokin Nangisin Goblok PT TMI 
https://t.co/Vun9buad5i https://t.co/wpOSyqf1J4","kasihan nih prabowo jadi korban fitnah anies yang suka sembrono sebut anggaran  
dukungantulus untuk penasaran kebebasan ptn top  menhan nyebokin nangisin goblok pt tmi 
 ",kasihan nih prabowo korban fitnah anies suka sembrono anggaran dukungantulus penasaran kebebasan ptn top menhan nyebokin nangisin goblok pt tmi,143,Politik
TXT0250,"Ganjar-Mahfud adalah solusi yang tepat untuk mewujudkan Indonesia yang lebih merata dalam pertumbuhan ekonomi. @Arunaurgf___ Happy New Year 
#GanjarMahfud2024
#GanjarMahfudM3nang
#L3bihbaik https://t.co/aShK4JchZ2","ganjarmahfud adalah solusi yang tepat untuk mewujudkan indonesia yang lebih merata dalam pertumbuhan ekonomi  happy new year 
 ",ganjarmahfud solusi mewujudkan indonesia merata pertumbuhan ekonomi happy new year,82,Politik
TXT0251,"Terima kasih karena menyebut penanganan ""kekerasan seksual"" dalam pembacaan visi misi, yg dihubungkan dengan reformasi kepolisian, Pak.

Terima kasih juga Pak Anies menyebut ""perlindungan perempuan&amp; anak"" juga TPPO.

Sebab keamanan bukan soal ""kalau kita lemah, nanti ditindas"" [RE mardiasih]","terima kasih karena menyebut penanganan kekerasan seksual dalam pembacaan visi misi yg dihubungkan dengan reformasi kepolisian pak

terima kasih juga pak anies menyebut perlindungan perempuan anak juga tppo

sebab keamanan bukan soal kalau kita lemah nanti ditindas ",terima kasih menyebut penanganan kekerasan seksual pembacaan visi misi yg dihubungkan reformasi kepolisian terima kasih anies menyebut perlindungan perempuan anak tppo keamanan lemah ditindas,191,Politik
TXT0252,"RINGKASAN

Anies Baswedan menjadi cawapres yang paling banyak dibicarakan netizen pasca debat berlangsung. Anies mengantongi 429K mention diikuti oleh Prabowo Subianto dengan 396K mention, dan di posisi terakhir yaitu Ganjar Pranowo dengan 329K mention.

Anies juga paling banyak dibincang dalam nada positif, dengan perolehan sentiment positif mencapai 71%, diikuti Ganjar 69%, dan Prabowo 31%. Adapun sentimen negatif tertinggi diraih oleh Prabowo dengan 64%, diikuti Anies 23%, dan Ganjar 17%.

Hingga selesainya pelaksanaan debat warganet berikan sejumlah julukan pada para Capres seperti EL Chef (Capres 01), El Gemoy (Capres 02), dan munculnya julukan baru El Chudai (Capres 03) sebagai substitusi panggilan ÃƒÂ¢Ã‚â‚¬Ã‚Å“den bokepÃƒÂ¢Ã‚â‚¬Ã‚Â yang sebelumnya digunakan untuk menyebut Ganjar.

Gimik yang banyak dibahas oleh netizen diantaranya soal: penggunaan diksi ÃƒÂ¢Ã‚â‚¬Ã‚Å“omon ÃƒÂ¢Ã‚â‚¬Ã‚â€œ omonÃƒÂ¢Ã‚â‚¬Ã‚Â, Mamat Gunshop, nilai untuk Menhan, potongan video statemen Prabowo dan aksi Prabowo yang memotong pembicaraan Anies.

Pasca debat ini isu yang masih diangkat yaitu perihal pro kontra keterbukaan data pertahanan Indonesia dan anggaran pertahanan yang mencapai 700 T, serta simpati pendukung kepada Prabowo yang dianggap didzolimi karena diserang oleh kedua capres lain saat debat. [RE ismailfahmi]","ringkasan

anies baswedan menjadi cawapres yang paling banyak dibicarakan netizen pasca debat berlangsung anies mengantongi k mention diikuti oleh prabowo subianto dengan k mention dan di posisi terakhir yaitu ganjar pranowo dengan k mention

anies juga paling banyak dibincang dalam nada positif dengan perolehan sentiment positif mencapai  diikuti ganjar  dan prabowo  adapun sentimen negatif tertinggi diraih oleh prabowo dengan  diikuti anies  dan ganjar 

hingga selesainya pelaksanaan debat warganet berikan sejumlah julukan pada para capres seperti el chef capres  el gemoy capres  dan munculnya julukan baru el chudai capres  sebagai substitusi panggilan den bokep yang sebelumnya digunakan untuk menyebut ganjar

gimik yang banyak dibahas oleh netizen diantaranya soal penggunaan diksi omon  omon mamat gunshop nilai untuk menhan potongan video statemen prabowo dan aksi prabowo yang memotong pembicaraan anies

pasca debat ini isu yang masih diangkat yaitu perihal pro kontra keterbukaan data pertahanan indonesia dan anggaran pertahanan yang mencapai  t serta simpati pendukung kepada prabowo yang dianggap didzolimi karena diserang oleh kedua capres lain saat debat ",ringkasan anies baswedan cawapres dibicarakan netizen pasca debat anies mengantongi k mention diikuti prabowo subianto k mention posisi ganjar pranowo k mention anies dibincang nada positif perolehan sentiment positif mencapai diikuti ganjar prabowo sentimen negatif tertinggi diraih prabowo diikuti anies ganjar selesainya pelaksanaan debat warganet julukan capres el chef capres el gemoy capres munculnya julukan el chudai capres substitusi panggilan den bokep menyebut ganjar gimik dibahas netizen penggunaan diksi omon omon mamat gunshop nilai menhan potongan video statemen prabowo aksi prabowo memotong pembicaraan anies pasca debat isu diangkat perihal pro kontra keterbukaan data pertahanan indonesia anggaran pertahanan mencapai t simpati pendukung prabowo dianggap didzolimi diserang capres debat,806,Politik
TXT0253,"Pengamat politik Universitas Jember Dr Muhammad Iqbal menilai bahwa calon presiden Anies Baswedan masih menjadi raja debat dengan seni adu argumen pada debat ketiga yang digelar KPU RI di Istora Senayan pada Minggu (7/01/2024) malam.

Ia mengatakan Anies kembali menegaskan bahwa Indonesia harus menjadi Panglima Diplomasi dan pemimpin yang efektif diperhitungkan di ASEAN sehingga kebersamaan negara anggota ASEAN diyakini mampu berperan aktif menemukan solusi atas konflik nine dash line yang diklaim sepihak oleh Tiongkok.

Simak berita selengkapnya di https://t.co/ZPDilYGt6x
#HardNews_Politik #NewsOne #CariBeritaditvOne #Politik #tvOneTVPemilu #KamiKabarkanAndaPutuskan #MauMemilih #Capres #Cawapres #Pemilu2024 #Pilpres2024 #AniesBaswedan #DebatCapres2024 [RE tvOneNews]","pengamat politik universitas jember dr muhammad iqbal menilai bahwa calon presiden anies baswedan masih menjadi raja debat dengan seni adu argumen pada debat ketiga yang digelar kpu ri di istora senayan pada minggu  malam

ia mengatakan anies kembali menegaskan bahwa indonesia harus menjadi panglima diplomasi dan pemimpin yang efektif diperhitungkan di asean sehingga kebersamaan negara anggota asean diyakini mampu berperan aktif menemukan solusi atas konflik nine dash line yang diklaim sepihak oleh tiongkok

simak berita selengkapnya di 
             ",pengamat politik universitas jember dr muhammad iqbal menilai calon presiden anies baswedan raja debat seni adu argumen debat ketiga digelar kpu ri istora senayan minggu malam anies indonesia panglima diplomasi pemimpin efektif diperhitungkan asean kebersamaan negara anggota asean diyakini berperan aktif menemukan solusi konflik nine dash line diklaim tiongkok simak berita selengkapnya,388,Politik
TXT0254,"Ganjar akan memberantas KKN dan Pungli demi kesejahteraan kaum Buruh di Indonesia GanjarMahfud2024 Bekasi bekasiÃƒâ€šÃ‚Â 

 Ganjar Mahfud Hebat #Coblos3 #3GM Memimpin Indonesia #GanjarMahfudM3nangDebat https://t.co/35fxdv3mUh","ganjar akan memberantas kkn dan pungli demi kesejahteraan kaum buruh di indonesia ganjarmahfud bekasi bekasi 

 ganjar mahfud hebat   memimpin indonesia  ",ganjar memberantas kkn pungli kesejahteraan kaum buruh indonesia ganjarmahfud bekasi bekasi ganjar mahfud hebat memimpin indonesia,130,Politik
TXT0255,"Ganjar-Mahfud akan memerangi kemiskinan dengan kebijakan yang efektif. @antttiiiiii1 Happy New Year 
#GanjarMahfud2024
#GanjarMahfudM3nang
#L3bihbaik https://t.co/GPLZiS8hds","ganjarmahfud akan memerangi kemiskinan dengan kebijakan yang efektif  happy new year 
 ",ganjarmahfud memerangi kemiskinan kebijakan efektif happy new year,66,Politik
TXT0256,"Ganjar-Mahfud akan menciptakan iklim investasi yang kondusif. @agungkharismm Happy New Year 
#GanjarMahfud2024
#GanjarMahfudM3nang
#L3bihbaik https://t.co/kPu3jt8jTI","ganjarmahfud akan menciptakan iklim investasi yang kondusif  happy new year 
 ",ganjarmahfud menciptakan iklim investasi kondusif happy new year,64,Politik
TXT0257,@4H1vUCc4OsPEdHy0UWnX92MlRQJHDFMqP3pDL72/XBQ= @7zKOzEg0lpOFbnvoz62dZ5YGei+XBMmaSn9NB0iZadg= @aYKAi+rRiGcl9nBuowVvyrGymExMs+QbQSxODr4apa0= @wYMbnSDK+T6YC7GS5kR3qQguXeV5h+l5ini2L9QYaT8= Rohingya masuk nyalahin anies,    rohingya masuk nyalahin anies,rohingya masuk nyalahin anies,29,Politik
